"ENTIDAD_NOMBRE"|"ENTIDAD_TIPO"|"CODIGO_ENTIDAD_ID"|"ENTIDAD_PEER_GROUP1"|"ENTIDAD_SF_SUB_PEERGROUP"|"ENTIDAD_SF_PEERGROUP_CM"|"ENTIDAD_SF_COR"|"ENTIDAD_SF_UV_COLOR"
"Financiera Oh!"|"Financiera"|145|"Consumo"|"Consumo intensivo TC"|"Tarjetero"|"Fin. Oh!"|"#8F2A2A"
"Financiera Proempresa"|"Financiera"|227|"MYPE"|"MYPE alto"|"Microempresa Nivel II"|"Fin. Proempresa"|"#BFFF00"
"Financiera Qapaq"|"Financiera"|144|"MYPE"|"MYPE medio"|"Libre Disponibilidad"|"Fin. Qapac"|"#F3FF00"
"Financiera Surgir"|"Financiera"|148|""|""|"Microempresa Nivel II"|"Fin. Surgir"|"#FF0000"
"Financiera TFC"|"Financiera"|143|"Operaciones Múltiples"|"Corp"|"No aplica"|"Fin. TFC"|"#FA58AC"
"FOCMAC"|"Fondo y Federación"|218|""|""|""|"Fon. CMAC"|""
"FOGAPI"|"Afianzadora"|220|""|"Otros"|"No aplica"|"FOGAPI"|"#688A08"
"FONDO MIVIVIENDA"|"Fondo"|216|"Banca Estatal"|"Banca Estatal"|"No aplica"|"MIVIVIENDA"|"#DBF705"
"F.QAPAQ ReactFAE"|"Honramiento Reactiva / FAE"|513|""|""|""|""|""
"F.TOTAL F.Crecer"|"Honramiento Fondo Crecer"|585|""|""|""|""|""
"GMoney"|"Empresa Emisora de Dinero Electrónico"|492|""|""|""|"EEDE Gmoney"|""
"HERMES"|"Transporte, Custodia y Adm. de Numerario"|266|""|""|""|"ETC. Hermes"|""
"Interbank"|"Banco"|2|"Sistémico"|"Sistémico"|"Sistémico"|"Bn. Interbank"|"#088A29"
"INTERBANK F.Crecer"|"Honramiento Fondo Crecer"|509|""|""|""|""|""
"INTERBANK ReactFAE"|"Honramiento Reactiva / FAE"|508|""|""|""|""|""
"JET PERU"|"Transferencia de Fondos"|406|""|""|""|"ETF. Jet Peru"|""
"JP Morgan"|"Banca de Inversión"|139|"Banca Inversión"|"Otros"|"No aplica"|"Bn. JP Morgan"|"#000000"
"La Fiduciaria"|"Fiduciaria"|221|""|"Otros"|"No aplica"|"Fid. La Fiduciaria"|"#FFBF00"
"Mibanco"|"Banco"|123|"MYPE"|"MYPE alto"|"Microempresa Nivel I"|"Bn. Mibanco"|"#04B431"
"MIBANCO.ReactFAE"|"Honramiento Reactiva / FAE"|469|""|""|""|""|""
"Mitsui Auto Finance"|"Financiera"|185|"Operaciones Múltiples"|"Consumo"|"Garantía"|"Fin. Mitsui"|"#F3F781"
"Nacion"|"Banco"|61|"Banca Estatal"|"Banca Estatal"|"Libre Disponibilidad"|"Bn. Nación"|"#B40404"
"PERU EXPRESS"|"Transferencia de Fondos"|413|""|""|""|"ETF. Perú Express"|""
"Peruana Soluciones"|"Empresa Emisora de Dinero Electrónico"|223|""|""|""|"EEDE Peruana de Soluciones"|"#A9D0F5"
"PROSEGUR"|"Transporte, Custodia y Adm. de Numerario"|265|""|""|""|"ETC. Prosegur"|""
"RED PERU MUNDO"|"Transferencia de Fondos"|403|""|""|""|"ETF. Red Perú"|""
"Scotiabank"|"Banco"|4|"Sistémico"|"Sistémico"|"Sistémico"|"Bn. Scotiabank"|"#FF0000"
"SCOTIABANK FCrecer"|"Honramiento Fondo Crecer"|498|""|""|""|""|""
"SCOTIABANK ReactFAE"|"Honramiento Reactiva / FAE"|497|""|""|""|""|""
"Servitebca"|"Empresa Emisora de Dinero Electrónico"|490|""|""|""|"EEDE Servitebca"|""
"SESDIS"|"Derrama y Caja de Beneficios"|135|""|""|""|"Der. SESDIS"|""
"Solución Administradora Hipotecaria"|"Administradora Hipotecaria"|76|""|"Hipotecario"|"No aplica"|"EAH Solución"|"#C8FE2E"
"Tarjetas Peruanas"|"Empresa Emisora de Dinero Electrónico"|493|""|""|""|"EEDE Tarjeta Peruanas"|""
"TOTAL SERVICIOS FIN."|"Empresa de Crédito"|184|""|"Otros"|"Microempresa Nivel II"|"EC. Total"|"#F7BE81"
"TOTAL S.F-.F.Crecer"|"Honramiento Fondo Crecer"|519|""|""|""|""|""
"Volvo Finance Empresa de Créditos"|"Empresa de Crédito"|590|"Edpymes"|"Otros"|"Garantía"|"EC. Volvo"|"#16566C"
"WESTERN UNION PERU"|"Transferencia de Fondos"|404|""|""|""|"ETF. Western Unión"|""
